Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_pascal,2,74.5,55.87,393.8,densenet169_pascal_2_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_pascal,4,107.18,87.16,430.76,densenet169_pascal_4_stats.json
densenet169.onnx,2144046b63def2cbd280eb58b91f2466,onnxruntime_gpu_pascal,8,164.03,140.26,498.05,densenet169_pascal_8_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_ampere,1,59.57,48.29,95.83,densenet201_ampere_1_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_ampere,2,98.9,71.54,557.89,densenet201_ampere_2_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_ampere,4,128.52,94.06,576.61,densenet201_ampere_4_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_ampere,8,182.53,141.5,674.19,densenet201_ampere_8_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_pascal,1,46.49,39.18,89.29,densenet201_pascal_1_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_pascal,2,81.98,58.43,464.29,densenet201_pascal_2_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_pascal,4,110.81,88.45,481.44,densenet201_pascal_4_stats.json
densenet201.onnx,80147d244072bebbc72dc4e2833d4a9a,onnxruntime_gpu_pascal,8,175.6,152.03,568.28,densenet201_pascal_8_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_ampere,1,32.46,26.26,68.55,efficientnet-b0_ampere_1_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_ampere,2,95.78,43.94,1014.74,efficientnet-b0_ampere_2_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_ampere,4,139.35,82.01,1174.59,efficientnet-b0_ampere_4_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_ampere,8,189.93,129.97,1127.53,efficientnet-b0_ampere_8_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_pascal,1,31.74,28.53,64.71,efficientnet-b0_pascal_1_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_pascal,2,97.26,51.46,927.12,efficientnet-b0_pascal_2_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_pascal,4,141.96,98.27,903.74,efficientnet-b0_pascal_4_stats.json
efficientnet-b0.onnx,e081bec81403a83245e040712bfe1ffa,onnxruntime_gpu_pascal,8,226.13,174.44,1098.65,efficientnet-b0_pascal_8_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_ampere,1,37.88,31.07,72.89,efficientnet-b1_ampere_1_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_ampere,2,114.89,46.54,1272.62,efficientnet-b1_ampere_2_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_ampere,4,147.63,83.35,1336.15,efficientnet-b1_ampere_4_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_ampere,8,210.37,136.89,1435.2,efficientnet-b1_ampere_8_stats.json
